index,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type,CEC_hybrid
ABB__PVI_6000_OUTD_US_Z_M_A__208V_,208,30.177542,6000.0,6267.335938,310.0,-3.604602e-06,-6.052393e-06,0.001075,-0.000453,1.8,480.0,20.217213,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_6000_OUTD_US_Z_M_A__240V_,240,29.691095,6000.0,6236.588867,345.0,-2.903347e-06,-1.3e-05,0.000347,-0.000753,1.8,480.0,18.077069,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_6000_OUTD_US_Z_M_A__277V_,277,35.356373,6000.0,6196.806641,400.0,-2.029357e-06,-2.4e-05,-4.5e-05,-0.001749,1.8,480.0,15.492017,100.0,480.0,10/15/2018,Utility Interactive,
ABB__PVI_6000_OUTD_US_Z__208V_,208,30.177542,6000.0,6267.335938,310.0,-3.604602e-06,-6.052393e-06,0.001075,-0.000453,1.8,480.0,20.217213,100.0,480.0,,Utility Interactive,
ABB__PVI_6000_OUTD_US_Z__240V_,240,29.691095,6000.0,6236.588867,345.0,-2.903347e-06,-1.3e-05,0.000347,-0.000753,1.8,480.0,18.077069,100.0,480.0,,Utility Interactive,
ABB__PVI_6000_OUTD_US_Z__277V_,277,35.356373,6000.0,6196.806641,400.0,-2.029357e-06,-2.4e-05,-4.5e-05,-0.001749,1.8,480.0,15.492017,100.0,480.0,,Utility Interactive,
ABB__PVI_6000_OUTD_US__208V_,208,30.177542,6000.0,6267.335938,310.0,-3.604602e-06,-6.052393e-06,0.001075,-0.000453,1.8,480.0,20.217213,100.0,480.0,,Utility Interactive,
ABB__PVI_6000_OUTD_US__240V_,240,29.691095,6000.0,6236.588867,345.0,-2.903347e-06,-1.3e-05,0.000347,-0.000753,1.8,480.0,18.077069,100.0,480.0,,Utility Interactive,
ABB__PVI_6000_OUTD_US__277V_,277,35.356373,6000.0,6196.806641,400.0,-2.029357e-06,-2.4e-05,-4.5e-05,-0.001749,1.8,480.0,15.492017,100.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_100_US__208V_,208,764.526367,100000.0,105695.359375,370.0,-3.108694e-07,2e-05,0.001081,0.00012,47.0,480.0,285.663133,330.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_100_US__480V_,480,830.711914,100000.0,105669.851563,370.0,-3.493918e-07,2.2e-05,0.000719,-0.000142,50.0,480.0,285.594193,330.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_250_US__480V_,480,868.129822,250000.0,259210.765625,360.0,-9.003021e-08,3.7e-05,0.00363,-0.00025,105.3,480.0,720.029905,320.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_300_US__480V_,480,1000.15918,300000.0,311352.9375,360.0,-8.316595e-08,4.6e-05,0.001259,-0.001242,119.0,480.0,864.869271,320.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_50_US__208V_,208,435.559631,50000.0,52854.519531,370.0,-6.724997e-07,2.1e-05,0.000425,-0.000447,33.0,480.0,142.850053,330.0,480.0,,Utility Interactive,
ABB__PVI_CENTRAL_50_US__480V_,480,453.716492,50000.0,52623.746094,370.0,-5.745175e-07,2e-05,0.000727,8.6e-05,41.0,480.0,142.226341,330.0,480.0,,Utility Interactive,
ABB__PVS980_58_1818kVA_I__600V_,600,6900.339355,1827300.0,1882020.125,975.0,-1.063536e-08,1.7e-05,0.000758,0.000164,548.19,1100.0,1930.277051,850.0,1100.0,5/1/2018,Utility Interactive,
ABB__PVS980_58_2000kVA_K__660V_,660,7786.132813,2027060.0,2085078.75,1018.0,-9.464977e-09,2.3e-05,0.000666,0.000113,608.118,1100.0,2048.210953,935.0,1100.0,5/1/2018,Utility Interactive,
ABB__PVS_166_TL_POWER_MODULE_1_US__800V_,800,469.755,165950.0,168859.0,1100.0,-4.58737e-08,-3.20682e-06,0.00068461,-0.000806797,12.0,1200.0,153.508,850.0,1200.0,9/1/2020,,N
ABB__PVS_166_TL_POWER_MODULE_2_US__800V_,800,469.755,165950.0,168859.0,1100.0,-4.58737e-08,-3.20682e-06,0.00068461,-0.000806797,12.0,1200.0,153.508,850.0,1200.0,9/1/2020,,N
ABB__PVS_175_TL_POWER_MODULE_1_US__800V_,800,705.527,179570.0,184362.0,1100.0,-8.42797e-08,-6.8412e-06,0.000102179,-0.00112577,12.0,1200.0,167.602,850.0,1200.0,9/1/2020,,N
ABB__PVS_175_TL_POWER_MODULE_2_US__800V_,800,705.527,179570.0,184362.0,1100.0,-8.42797e-08,-6.8412e-06,0.000102179,-0.00112577,12.0,1200.0,167.602,850.0,1200.0,9/1/2020,,N
ABB__PVS_60_TL_R_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,,,N
ABB__PVS_60_TL_SC_R_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,,,N
ABB__PVS_60_TL_SC_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,9/1/2020,,N
ABB__PVS_60_TL_S_R_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,,,N
ABB__PVS_60_TL_S_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,9/1/2020,,N
ABB__PVS_60_TL_US__480V_,480,148.792,60033.0,61147.2,720.0,-1.41816e-07,-3.03226e-05,0.0010953,-0.000176618,0.9,800.0,84.9267,570.0,800.0,9/1/2020,,N
ABB__TRIO_20_0_TL_OUTD_S1A_US_480_A__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S1A_US_480__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S1B_US_480_A__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S1B_US_480__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S1_US_480_A__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S1_US_480__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S_US_480_A__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_20_0_TL_OUTD_S_US_480__480V_,480,88.916023,20000.0,20460.666016,700.0,-3.986113e-07,-3.2e-05,-0.0008,0.00052,6.0,800.0,29.229523,450.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S1A_US_480_A__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
ABB__TRIO_27_6_TL_OUTD_S1A_US_480__480V_,480,92.134544,27600.0,28199.173828,715.0,-2.513804e-07,-3.1e-05,-0.001336,-0.001753,8.28,800.0,39.439404,520.0,800.0,,Utility Interactive,
